AGE,FG3M,FTM,FTA,OREB,TOV,STL,BLK,BLKA,PFD,DD2_RANK,TD3_RANK,All_Star_Selection
0.291667,0.169811,0.411765,0.390244,0.090909,0.385965,0.8,0.027027,0.190476,0.489796,0.041199,0.666667,1
0.333333,0.056604,0.009804,0.01626,0.018182,0.052632,0.033333,0,0.047619,0.020408,0.835206,0.666667,0
0.375,0,0.088235,0.130081,0.309091,0.140351,0.166667,0.081081,0.142857,0.132653,0.479401,0.666667,0
0.125,0.113208,0.039216,0.04878,0.109091,0.192982,0.266667,0.162162,0.238095,0.061224,0.835206,0.666667,0
0.375,0,0.127451,0.154472,0.545455,0.210526,0.366667,0.189189,0.47619,0.183673,0.209738,0.153846,0
0.125,0,0.009804,0.01626,0.127273,0.070175,0.1,0.108108,0.047619,0.030612,0.835206,0.666667,0
0.25,0.075472,0.196078,0.227642,0.145455,0.22807,0.466667,0.054054,0.190476,0.234694,0.835206,0.666667,1
0.5,0.075472,0.392157,0.398374,0.127273,0.333333,0.1,0.027027,0.285714,0.346939,0.674157,0.666667,0
0.25,0.169811,0.117647,0.121951,0.109091,0.140351,0.233333,0.054054,0.142857,0.102041,0.835206,0.666667,0
0.166667,0,0,0,0.127273,0,0.1,0,0.142857,0.071429,0.835206,0.666667,1
0.333333,0,0.098039,0.113821,0.163636,0.122807,0.1,0.027027,0.190476,0.112245,0.835206,0.666667,0
0.166667,0.264151,0.323529,0.292683,0.090909,0.333333,0.233333,0,0.47619,0.285714,0.307116,0.666667,0
0.458333,0,0.029412,0.03252,0.163636,0.087719,0.033333,0.189189,0.047619,0.040816,0.835206,0.666667,0
0.208333,0,0.098039,0.113821,0.163636,0.052632,0.1,0.108108,0.095238,0.091837,0.835206,0.666667,0
0.166667,0.075472,0.039216,0.073171,0.018182,0.105263,0.033333,0,0.142857,0.05102,0.835206,0.666667,0
0.208333,0.283019,0.039216,0.04065,0.036364,0.070175,0.1,0,0.047619,0.030612,0.835206,0.666667,0
0.458333,0.056604,0.147059,0.162602,0.018182,0.122807,0.133333,0.054054,0.142857,0.163265,0.835206,0.666667,1
0.5,0,0.078431,0.089431,0.072727,0.070175,0.166667,0.054054,0.095238,0.081633,0.835206,0.666667,0
0.166667,0,0.068627,0.089431,0.127273,0.175439,0.2,0.135135,0.190476,0.071429,0.835206,0.666667,1
0.583333,0,0.019608,0.04878,0.309091,0.122807,0.1,0.189189,0.095238,0.081633,0.835206,0.666667,0
0.25,0.339623,0.196078,0.195122,0.072727,0.210526,0.233333,0.081081,0.285714,0.214286,0.835206,0.666667,0
0.125,0.320755,0.529412,0.512195,0.181818,0.22807,0.266667,0.108108,0.190476,0.489796,0.573034,0.666667,0
0.375,0.377358,0.490196,0.479675,0.2,0.45614,0.366667,0.216216,0.619048,0.418367,0.378277,0.666667,1
0.208333,0.169811,0,0,0.072727,0.105263,0.1,0.027027,0.047619,0.05102,0.835206,0.666667,0
0.208333,0,0.058824,0.065041,0.218182,0.122807,0.233333,0.162162,0.142857,0.081633,0.479401,0.666667,0
0.583333,0,0.019608,0.03252,0.036364,0.070175,0,0,0.047619,0.040816,0.835206,0.666667,0
0.291667,0,0.088235,0.138211,0.345455,0.385965,0.266667,0.540541,0.285714,0.153061,0.378277,0.666667,0
0.25,0.018868,0.04902,0.065041,0.145455,0.070175,0.066667,0.027027,0.095238,0.071429,0.835206,0.666667,0
0.166667,0,0.137255,0.138211,0.254545,0.192982,0.233333,0.216216,0.190476,0.153061,0.573034,0.666667,0
0.166667,0.09434,0.254902,0.235772,0.090909,0.438596,0.366667,0.054054,0.333333,0.22449,0.411985,0.666667,0
0.5,0.037736,0.039216,0.04878,0.090909,0.105263,0.033333,0.054054,0.142857,0.061224,0.835206,0.666667,0
0.375,0,0.284314,0.300813,0.545455,0.403509,0.333333,0.108108,0.428571,0.295918,0.022472,0.666667,0
0.458333,0,0.372549,0.382114,0.4,0.350877,0.333333,0.243243,0.47619,0.377551,0.164794,0.666667,0
0.125,0,0.117647,0.219512,0.472727,0.22807,0.166667,0.486486,0.190476,0.234694,0.269663,0.666667,1
