AGE,FG3M,OREB,TOV,STL,BLK,BLKA,PLUS_MINUS,TD3_RANK,All_Star_Selection
0.708333,0.150943,0.036364,0.157895,0.4,0.027027,0.142857,0.616695,0.666667,0
0.333333,0.301887,0.109091,0.614035,0.4,0.054054,0.428571,0.492334,0.666667,0
0.166667,0.018868,0.145455,0.122807,0.133333,0.054054,0.095238,0.507666,0.666667,0
0.166667,0,0.090909,0.087719,0.033333,0.054054,0.095238,0.499148,0.666667,0
0,0,0.4,0.175439,0.133333,0.243243,0.190476,0.471891,0.666667,1
0.125,0.301887,0.181818,0.596491,0.333333,0.162162,0.761905,0.62862,0.153846,0
0.083333,0.018868,0.145455,0.052632,0.066667,0.081081,0.142857,0.487223,0.666667,0
0.375,0.150943,0.036364,0.508772,0.333333,0.027027,0.380952,0.473595,0.666667,0
0.166667,0,0.090909,0.175439,0,0,0,0.591141,0.666667,0
0.583333,0.169811,0.127273,0.333333,0.166667,0.162162,0.190476,0.647359,0.666667,0
0.25,0,0.218182,0.087719,0.066667,0.162162,0.190476,0.499148,0.666667,0
0.125,0,0.054545,0.105263,0.1,0.054054,0.095238,0.502555,0.666667,0
0.166667,0.132075,0.127273,0.157895,0.166667,0.081081,0.142857,0.495741,0.666667,1
0.25,0.45283,0.2,0.280702,0.5,0.216216,0.285714,0.495741,0.666667,0
0.416667,0.018868,0.381818,0.22807,0.2,0.135135,0.333333,0.504259,0.153846,0
0.25,0,0.727273,0.631579,0.466667,0.648649,0.47619,0.632027,0.666667,0
0.416667,0.150943,0.290909,0.54386,0.5,0.297297,0.428571,0.65247,0.153846,0
0.416667,0,0.272727,0.140351,0.133333,0.081081,0.190476,0.495741,0.666667,0
0.666667,0.09434,0.054545,0.157895,0.233333,0.027027,0.142857,0.534923,0.666667,0
0.166667,0,0.163636,0.122807,0.066667,0.108108,0.190476,0.500852,0.666667,0
0.541667,0.09434,0.127273,0.263158,0.266667,0.054054,0.142857,0.524702,0.666667,0
0.125,0,0.472727,0.122807,0.2,0.27027,0.238095,0.434412,0.666667,0
0.583333,0.226415,0.036364,0.087719,0.2,0.027027,0.095238,0.555366,0.666667,1
0.625,0.075472,0.090909,0.070175,0.133333,0.054054,0.047619,0.528109,0.666667,0
0.208333,0,0.254545,0.140351,0.133333,0.405405,0.095238,0.553663,0.666667,0
0.541667,0,0.527273,0.210526,0.366667,0.351351,0.285714,0.551959,0.666667,0
0.375,0,0.581818,0.298246,0.2,0.486486,0.428571,0.55707,0.666667,0
0.083333,0.075472,0.145455,0.421053,0.366667,0.081081,0.190476,0.477002,0.666667,0
0.125,0.358491,0.145455,0.473684,0.433333,0.081081,0.571429,0.522998,0.666667,0
0.208333,0.09434,0.054545,0.157895,0.133333,0.027027,0.047619,0.563884,0.666667,0
0.666667,0,0.181818,0.105263,0.1,0.243243,0.095238,0.560477,0.666667,0
0.208333,0.113208,0.327273,0.192982,0.3,0.108108,0.238095,0.540034,0.666667,0
0.583333,0,0.090909,0.070175,0.033333,0.081081,0.095238,0.488927,0.666667,0
0.125,0.037736,0.090909,0.175439,0.2,0.054054,0.285714,0.512777,0.666667,1
0.708333,0,0.109091,0.105263,0,0,0,0.454855,0.666667,0
0.666667,0,0.109091,0.087719,0.1,0.054054,0.047619,0.505963,0.666667,0
0.416667,0.264151,0.072727,0.140351,0.3,0.216216,0.142857,0.488927,0.666667,0
0.125,0,0,0,0,0,0,0.488927,0.666667,0
0.208333,0,0.145455,0.087719,0,0.054054,0.142857,0.50937,0.666667,0
0.25,0.075472,0,0.175439,0.166667,0.081081,0.095238,0.500852,0.666667,0
0.291667,0.056604,0.072727,0.122807,0.133333,0.027027,0.190476,0.51448,0.666667,0
0.291667,0.301887,0.054545,0.175439,0.1,0.027027,0.095238,0.541738,0.666667,0
0.25,0.188679,0.054545,0.22807,0.3,0.081081,0.238095,0.586031,0.666667,0
0.166667,0.018868,0.127273,0.157895,0.233333,0.135135,0.238095,0.497445,0.666667,0
0.375,0.169811,0.290909,0.368421,0.5,0.243243,0.619048,0.551959,0.666667,0
0.416667,0.264151,0.054545,0.438596,0.366667,0.081081,0.190476,0.519591,0.666667,0
0.25,0,0.236364,0.192982,0.333333,0.108108,0.380952,0.553663,0.666667,0
0.25,0.150943,0.090909,0.298246,0.233333,0.027027,0.190476,0.471891,0.153846,0
0.083333,0.09434,0.109091,0.175439,0.133333,0.081081,0.095238,0.477002,0.666667,0
0.791667,0.113208,0.181818,0.298246,0.266667,0.108108,0.238095,0.53322,0.666667,0
0.083333,0,0.563636,0.175439,0.4,0.162162,0.428571,0.494037,0.666667,0
0.208333,0.075472,0.036364,0.175439,0.1,0.027027,0.095238,0.507666,0.666667,0
0.375,0,0.2,0.175439,0.133333,0.027027,0.190476,0.483816,0.666667,0
0.208333,0,0.018182,0.035088,0.033333,0.081081,0,0.487223,0.666667,0
0.291667,0,0.145455,0.070175,0.033333,0.108108,0.142857,0.548552,0.666667,0
0.208333,0,0.090909,0.070175,0.066667,0.081081,0.095238,0.478705,0.666667,0
0.125,0,0,0,0,0,0,0.454855,0.666667,1
0.541667,0.301887,0.109091,0.280702,0.3,0.108108,0.095238,0.586031,0.153846,0
0.166667,0.188679,0.054545,0.105263,0.1,0.027027,0.095238,0.546848,0.666667,0
0.291667,0,0.145455,0.087719,0.1,0.108108,0.095238,0.49063,0.666667,0
0.208333,0,0.145455,0.070175,0.1,0.081081,0.047619,0.543441,0.666667,0
0.333333,0,0.2,0.105263,0.033333,0.027027,0.190476,0.49063,0.666667,0
0.583333,0,0.054545,0.052632,0.133333,0.027027,0.095238,0.50937,0.666667,0
0.125,0.018868,0.036364,0.140351,0.133333,0,0.047619,0.504259,0.666667,0
0.333333,0.150943,0.072727,0.298246,0.133333,0,0.238095,0.555366,0.666667,0
0.125,0,0.490909,0.385965,0.2,0.189189,0.666667,0.408859,0.666667,0
0.333333,0.283019,0.018182,0.157895,0.166667,0.027027,0.047619,0.551959,0.666667,0
0.25,0.301887,0.109091,0.22807,0.4,0.054054,0.190476,0.577513,0.666667,0
0.166667,0,0.509091,0.22807,0.166667,0.648649,0.238095,0.473595,0.153846,0
0.583333,0,0.163636,0.052632,0.066667,0.027027,0.047619,0.534923,0.666667,0
0.5,0.301887,0.054545,0.333333,0.266667,0.054054,0.238095,0.522998,0.666667,0
0.5,0.113208,0.072727,0.070175,0.166667,0.162162,0.047619,0.480409,0.666667,0
0.416667,0.301887,0.090909,0.45614,0.333333,0,0.238095,0.592845,0.666667,0
0.125,0.132075,0.018182,0.087719,0.033333,0.054054,0.095238,0.49063,0.666667,0
0.083333,0.264151,0.090909,0.22807,0.366667,0.081081,0.285714,0.565588,0.666667,0
0.208333,0.037736,0.181818,0.298246,0.3,0.27027,0.190476,0.492334,0.666667,0
0.458333,0.283019,0.054545,0.052632,0.133333,0.054054,0,0.574106,0.666667,0
0.625,0.264151,0.036364,0.087719,0.166667,0.027027,0,0.512777,0.666667,0
0.25,0.245283,0.254545,0.157895,0.366667,0.054054,0.190476,0.516184,0.666667,0
0.416667,0,0.272727,0.087719,0.233333,0.108108,0.095238,0.565588,0.666667,0
0.333333,0.075472,0.036364,0.22807,0.233333,0.027027,0.238095,0.487223,0.666667,0
0.541667,0,0.090909,0.052632,0.033333,0,0.095238,0.526405,0.666667,0
0.541667,0,0.109091,0.087719,0.066667,0.054054,0.095238,0.553663,0.666667,0
0.458333,0,0.018182,0.017544,0.033333,0,0.047619,0.548552,0.666667,0
0.791667,0.320755,0.072727,0.385965,0.566667,0.108108,0.095238,0.558773,0.102564,0
0.375,0,0.218182,0.140351,0.133333,0.108108,0.238095,0.482112,0.666667,0
0.458333,0.45283,0.145455,0.210526,0.4,0.054054,0.190476,0.579216,0.666667,0
0.25,0,0.218182,0.122807,0.1,0.108108,0.095238,0.521295,0.666667,0
