AGE,W,L,FG3A,OREB,DREB,TOV,PF,PFD,PLUS_MINUS,TD3_RANK,All_Star_Selection
0.375,0.493151,0.211268,0.075758,0.036364,0.070175,0.210526,0.1,0.071429,0.522998,0.666667,0
0.25,0.136986,0.056338,0,0.163636,0.122807,0.122807,0.25,0.102041,0.454855,0.666667,0
0.416667,0.150685,0.295775,0,0.290909,0.473684,0.315789,0.383333,0.132653,0.499148,0.666667,0
0.291667,0.616438,0.492958,0.174242,0.090909,0.315789,0.385965,0.416667,0.489796,0.577513,0.666667,1
0.333333,0.452055,0.112676,0.068182,0.018182,0.04386,0.052632,0.116667,0.020408,0.507666,0.666667,0
0.375,0.30137,0.492958,0,0.309091,0.27193,0.140351,0.416667,0.132653,0.521295,0.666667,0
0.125,0.136986,0.478873,0.159091,0.109091,0.192982,0.192982,0.3,0.061224,0.444634,0.666667,0
0.375,0.561644,0.464789,0,0.545455,0.447368,0.210526,0.45,0.183673,0.570698,0.153846,0
0.125,0.150685,0.098592,0,0.127273,0.105263,0.070175,0.283333,0.030612,0.529813,0.666667,0
0.25,0.30137,0.661972,0.121212,0.145455,0.149123,0.22807,0.383333,0.234694,0.49063,0.666667,1
0.5,0.342466,0.591549,0.090909,0.127273,0.254386,0.333333,0.433333,0.346939,0.500852,0.666667,0
0.25,0.589041,0.535211,0.159091,0.109091,0.175439,0.140351,0.216667,0.102041,0.524702,0.666667,0
0.166667,0,0.042254,0.128788,0.127273,0.061404,0,0.166667,0.071429,0.459966,0.666667,1
0.333333,0.232877,0.43662,0.007576,0.163636,0.131579,0.122807,0.3,0.112245,0.502555,0.666667,0
0.166667,0.465753,0.676056,0.310606,0.090909,0.201754,0.333333,0.316667,0.285714,0.470187,0.666667,0
0.458333,0.273973,0.295775,0,0.163636,0.105263,0.087719,0.216667,0.040816,0.507666,0.666667,0
0.208333,0.315068,0.338028,0,0.163636,0.210526,0.052632,0.266667,0.091837,0.511073,0.666667,0
0.166667,0.068493,0.239437,0.075758,0.018182,0.04386,0.105263,0.166667,0.05102,0.505963,0.666667,0
0.208333,0.410959,0.183099,0.272727,0.036364,0.131579,0.070175,0.2,0.030612,0.553663,0.666667,0
0.458333,0.30137,0.323944,0.068182,0.018182,0.122807,0.122807,0.266667,0.163265,0.50937,0.666667,1
0.5,0.342466,0.380282,0.015152,0.072727,0.114035,0.070175,0.233333,0.081633,0.483816,0.666667,0
0.166667,0.09589,0.253521,0.007576,0.127273,0.236842,0.175439,0.233333,0.071429,0.502555,0.666667,1
0.583333,0.178082,0.408451,0,0.309091,0.131579,0.122807,0.366667,0.081633,0.497445,0.666667,0
0.25,0.246575,0.690141,0.333333,0.072727,0.201754,0.210526,0.383333,0.214286,0.473595,0.666667,0
0.125,0.465753,0.394366,0.356061,0.181818,0.350877,0.22807,0.383333,0.489796,0.541738,0.666667,0
0.375,0.493151,0.605634,0.393939,0.2,0.377193,0.45614,0.45,0.418367,0.519591,0.666667,1
0.208333,0.068493,0.042254,0.181818,0.072727,0.131579,0.105263,0.15,0.05102,0.562181,0.666667,0
0.208333,0.534247,0.549296,0.015152,0.218182,0.201754,0.122807,0.383333,0.081633,0.492334,0.666667,0
0.583333,0.054795,0.084507,0,0.036364,0.070175,0.070175,0.266667,0.040816,0.488927,0.666667,0
0.291667,0.205479,0.760563,0,0.345455,0.289474,0.385965,0.55,0.153061,0.463373,0.666667,0
0.25,0.246575,0.577465,0.015152,0.145455,0.070175,0.070175,0.166667,0.071429,0.500852,0.666667,0
0.166667,0.616438,0.492958,0.007576,0.254545,0.245614,0.192982,0.483333,0.153061,0.531516,0.666667,0
0.166667,0.493151,0.605634,0.121212,0.090909,0.201754,0.438596,0.233333,0.22449,0.494037,0.666667,0
0.5,0.232877,0.323944,0.045455,0.090909,0.140351,0.105263,0.166667,0.061224,0.531516,0.666667,0
0.375,0.479452,0.535211,0,0.545455,0.596491,0.403509,0.483333,0.295918,0.495741,0.666667,0
0.458333,0.547945,0.422535,0.007576,0.4,0.464912,0.350877,0.483333,0.377551,0.558773,0.666667,0
0.125,0.424658,0.690141,0,0.472727,0.403509,0.22807,0.533333,0.234694,0.500852,0.666667,1
0.125,0.821918,0.295775,0,0.490909,0.377193,0.245614,0.433333,0.153061,0.551959,0.666667,0
0.083333,0.30137,0.84507,0.045455,0.163636,0.254386,0.315789,0.433333,0.377551,0.437819,0.666667,0
0.041667,0.315068,0.816901,0.015152,0.490909,0.526316,0.578947,0.683333,0.469388,0.46678,0.666667,0
0.208333,0.09589,0.070423,0,0.036364,0.04386,0,0.066667,0.05102,0.53322,0.666667,1
0.416667,0.082192,0.140845,0,0.145455,0.157895,0.122807,0.266667,0.040816,0.480409,0.666667,0
0.458333,0.671233,0.323944,0.265152,0.054545,0.105263,0.105263,0.166667,0.081633,0.529813,0.666667,1
0.333333,0.178082,0.15493,0.106061,0.054545,0.114035,0.22807,0.2,0.071429,0.46167,0.666667,0
0.708333,0.780822,0.352113,0.143939,0.036364,0.149123,0.157895,0.383333,0.173469,0.616695,0.666667,0
0.333333,0.452055,0.450704,0.371212,0.109091,0.298246,0.614035,0.483333,0.530612,0.492334,0.666667,0
0.166667,0.30137,0.380282,0.015152,0.145455,0.105263,0.122807,0.2,0.102041,0.507666,0.666667,0
0.166667,0.39726,0.169014,0,0.090909,0.052632,0.087719,0.183333,0.05102,0.499148,0.666667,0
0,0.342466,0.746479,0,0.4,0.27193,0.175439,0.533333,0.163265,0.471891,0.666667,1
0.125,0.849315,0.267606,0.363636,0.181818,0.27193,0.596491,0.283333,0.489796,0.62862,0.153846,0
0.083333,0.205479,0.070423,0.022727,0.145455,0.052632,0.052632,0.066667,0.071429,0.487223,0.666667,0
0.375,0.328767,0.661972,0.189394,0.036364,0.184211,0.508772,0.383333,0.5,0.473595,0.666667,0
0.166667,0.027397,0,0,0.090909,0.087719,0.175439,0.166667,0,0.591141,0.666667,0
0.583333,0.753425,0.253521,0.174242,0.127273,0.552632,0.333333,0.4,0.489796,0.647359,0.666667,0
0.25,0.246575,0.478873,0,0.218182,0.22807,0.087719,0.3,0.061224,0.499148,0.666667,0
0.125,0.136986,0.112676,0.015152,0.054545,0.096491,0.105263,0.066667,0.061224,0.502555,0.666667,0
0.166667,0.287671,0.676056,0.166667,0.127273,0.122807,0.157895,0.216667,0.081633,0.495741,0.666667,1
0.25,0.493151,0.647887,0.477273,0.2,0.368421,0.280702,0.35,0.204082,0.495741,0.666667,0
0.416667,0.191781,0.295775,0.045455,0.381818,0.412281,0.22807,0.466667,0.285714,0.504259,0.153846,0
0.25,0.69863,0.380282,0.007576,0.727273,0.885965,0.631579,0.55,1,0.632027,0.666667,0
0.416667,0.739726,0.309859,0.204545,0.290909,0.421053,0.54386,0.433333,0.622449,0.65247,0.153846,0
0.416667,0.136986,0.15493,0,0.272727,0.184211,0.140351,0.366667,0.102041,0.495741,0.666667,0
0.666667,0.315068,0.478873,0.090909,0.054545,0.061404,0.157895,0.133333,0.132653,0.534923,0.666667,0
0.166667,0.383562,0.197183,0.007576,0.163636,0.131579,0.122807,0.183333,0.081633,0.500852,0.666667,0
0.541667,0.506849,0.605634,0.098485,0.127273,0.140351,0.263158,0.3,0.102041,0.524702,0.666667,0
0.125,0.219178,0.690141,0,0.472727,0.394737,0.122807,0.466667,0.142857,0.434412,0.666667,0
0.583333,0.534247,0.239437,0.234848,0.036364,0.131579,0.087719,0.2,0.040816,0.555366,0.666667,1
0.625,0.191781,0.239437,0.083333,0.090909,0.087719,0.070175,0.283333,0.071429,0.528109,0.666667,0
0.208333,0.383562,0.422535,0,0.254545,0.149123,0.140351,0.416667,0.142857,0.553663,0.666667,0
0.541667,0.561644,0.56338,0,0.527273,0.473684,0.210526,0.5,0.285714,0.551959,0.666667,0
0.375,0.589041,0.408451,0,0.581818,0.552632,0.298246,0.533333,0.295918,0.55707,0.666667,0
0.083333,0.438356,0.690141,0.106061,0.145455,0.166667,0.421053,0.266667,0.153061,0.477002,0.666667,0
0.125,0.342466,0.43662,0.393939,0.145455,0.184211,0.473684,0.35,0.469388,0.522998,0.666667,0
0.208333,0.753425,0.380282,0.090909,0.054545,0.105263,0.157895,0.2,0.061224,0.563884,0.666667,0
0.666667,0.493151,0.211268,0,0.181818,0.210526,0.105263,0.266667,0.091837,0.560477,0.666667,0
0.208333,0.342466,0.492958,0.151515,0.327273,0.377193,0.192982,0.45,0.234694,0.540034,0.666667,0
0.583333,0.082192,0.098592,0,0.090909,0.114035,0.070175,0.133333,0.071429,0.488927,0.666667,0
0.125,0.547945,0.535211,0.045455,0.090909,0.298246,0.175439,0.3,0.132653,0.512777,0.666667,1
0.708333,0.054795,0.014085,0,0.109091,0.070175,0.105263,0.333333,0.040816,0.454855,0.666667,0
0.666667,0.465753,0.394366,0,0.109091,0.114035,0.087719,0.233333,0.061224,0.505963,0.666667,0
0.416667,0.246575,0.56338,0.295455,0.072727,0.166667,0.140351,0.366667,0.132653,0.488927,0.666667,0
0.125,0.013699,0,0,0,0,0,0.166667,0,0.488927,0.666667,0
0.208333,0.136986,0.15493,0,0.145455,0.052632,0.087719,0.166667,0.061224,0.50937,0.666667,0
0.25,0.164384,0.169014,0.113636,0,0.078947,0.175439,0.166667,0.05102,0.500852,0.666667,0
0.291667,0.534247,0.338028,0.068182,0.072727,0.122807,0.122807,0.2,0.102041,0.51448,0.666667,0
0.291667,0.808219,0.295775,0.295455,0.054545,0.192982,0.175439,0.316667,0.112245,0.541738,0.666667,0
0.25,0.767123,0.28169,0.204545,0.054545,0.201754,0.22807,0.333333,0.295918,0.586031,0.666667,0
0.166667,0.39726,0.549296,0.037879,0.127273,0.201754,0.157895,0.283333,0.234694,0.497445,0.666667,0
0.375,0.493151,0.492958,0.19697,0.290909,0.570175,0.368421,0.433333,0.459184,0.551959,0.666667,0
0.416667,0.479452,0.492958,0.356061,0.054545,0.210526,0.438596,0.45,0.214286,0.519591,0.666667,0
0.25,0.739726,0.338028,0.015152,0.236364,0.368421,0.192982,0.5,0.306122,0.553663,0.666667,0
0.25,0.506849,0.464789,0.166667,0.090909,0.131579,0.298246,0.3,0.22449,0.471891,0.153846,0
0.083333,0.452055,0.549296,0.075758,0.109091,0.122807,0.175439,0.25,0.173469,0.477002,0.666667,0
0.791667,0.534247,0.577465,0.106061,0.181818,0.289474,0.298246,0.383333,0.316327,0.53322,0.666667,0
0.083333,0.410959,0.704225,0,0.563636,0.385965,0.175439,0.416667,0.234694,0.494037,0.666667,0
