AGE,W,PLUS_MINUS,W_RANK,W_PCT_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,STL_RANK,BLK_RANK,PLUS_MINUS_RANK,All_Star_Selection
0.375,0.561644,0.570698,0.164076,0.278066,0.320513,0.594096,0.028777,0.080756,0.115732,0.16185,0.104305,0
0.125,0.150685,0.529813,0.630397,0.207254,0.778388,0.732472,0.393885,0.618557,0.652803,0.34104,0.278146,0
0.25,0.30137,0.49063,0.450777,0.62867,0.197802,0.509225,0.345324,0.491409,0.0434,0.491329,0.534768,1
0.5,0.342466,0.500852,0.397237,0.571675,0.064103,0.156827,0.435252,0.256014,0.62387,0.712909,0.461921,0
0.25,0.589041,0.524702,0.138169,0.310881,0.434066,0.267528,0.451439,0.436426,0.287523,0.510597,0.304636,0
0.166667,0,0.459966,0.773748,0.773748,0.800366,0.800738,0.417266,0.713058,0.585895,0.818882,0.68543,1
0.333333,0.232877,0.502555,0.542314,0.594128,0.452381,0.45572,0.318345,0.536082,0.585895,0.614644,0.443709,0
0.166667,0.465753,0.470187,0.283247,0.512953,0.117216,0.03321,0.53777,0.37457,0.318264,0.795761,0.647351,0
0.458333,0.273973,0.507666,0.481865,0.404145,0.732601,0.48524,0.327338,0.613402,0.728752,0.163776,0.410596,0
0.208333,0.315068,0.511073,0.433506,0.397237,0.465201,0.490775,0.303957,0.335052,0.669078,0.302505,0.389073,0
0.166667,0.068493,0.505963,0.716753,0.727116,0.576923,0.774908,0.764388,0.743986,0.735986,0.776493,0.42053,0
0.208333,0.410959,0.553663,0.336788,0.110535,0.727106,0.243542,0.721223,0.549828,0.605787,0.807322,0.153974,0
0.458333,0.30137,0.50937,0.450777,0.400691,0.300366,0.350554,0.767986,0.585911,0.481013,0.603083,0.405629,1
0.5,0.342466,0.483816,0.397237,0.416235,0.529304,0.49631,0.561151,0.604811,0.415913,0.574181,0.581126,0
0.166667,0.09589,0.502555,0.687392,0.673575,0.518315,0.621771,0.413669,0.290378,0.338156,0.26975,0.442053,1
0.583333,0.178082,0.497445,0.611399,0.637306,0.681319,0.787823,0.127698,0.537801,0.629295,0.150289,0.478477,0
0.25,0.246575,0.473595,0.521589,0.685665,0.239927,0.188192,0.606115,0.369416,0.285714,0.400771,0.625828,0
0.125,0.465753,0.541738,0.283247,0.283247,0.02381,0.094096,0.293165,0.140893,0.229656,0.292871,0.215232,0
0.375,0.493151,0.519591,0.248705,0.44905,0.032967,0.123616,0.242806,0.118557,0.099458,0.131021,0.339404,1
0.208333,0.068493,0.562181,0.716753,0.188256,0.800366,0.800738,0.597122,0.546392,0.670886,0.635838,0.120861,0
0.208333,0.534247,0.492334,0.198618,0.369603,0.619048,0.479705,0.214029,0.362543,0.301989,0.225434,0.516556,0
0.583333,0.054795,0.488927,0.727116,0.528497,0.736264,0.732472,0.71223,0.685567,0.78481,0.818882,0.548013,0
0.291667,0.205479,0.463373,0.578584,0.737478,0.369963,0.701107,0.100719,0.199313,0.244123,0.007707,0.668874,0
0.25,0.246575,0.500852,0.521589,0.64076,0.606227,0.656827,0.341727,0.69244,0.694394,0.753372,0.451987,0
0.166667,0.616438,0.531516,0.117444,0.264249,0.3663,0.204797,0.176259,0.271478,0.329114,0.129094,0.271523,0
0.166667,0.493151,0.494037,0.248705,0.44905,0.179487,0.075646,0.508993,0.35567,0.106691,0.572254,0.508278,0
0.5,0.232877,0.531516,0.542314,0.504318,0.70696,0.629151,0.510791,0.515464,0.745027,0.508671,0.268212,0
0.375,0.479452,0.495741,0.274611,0.417962,0.113553,0.282288,0.026978,0.022337,0.132007,0.304432,0.495033,0
0.458333,0.547945,0.558773,0.181347,0.252159,0.069597,0.223247,0.071942,0.072165,0.162749,0.105973,0.129139,0
0.125,0.424658,0.500852,0.326425,0.547496,0.203297,0.773063,0.052158,0.104811,0.421338,0.017341,0.450331,1
0.125,0.821918,0.551959,0.013817,0.067358,0.362637,0.607011,0.044964,0.116838,0.079566,0.244701,0.172185,0
0.083333,0.30137,0.437819,0.450777,0.687392,0.062271,0.204797,0.305755,0.262887,0.126582,0.350674,0.721854,0
0.041667,0.315068,0.46678,0.433506,0.670121,0.06044,0.542435,0.043165,0.051546,0.121157,0.115607,0.660596,0
0.208333,0.09589,0.53322,0.687392,0.236615,0.787546,0,0.732014,0.738832,0.76311,0.695568,0.261589,1
0.416667,0.082192,0.480409,0.702936,0.56304,0.666667,0.789668,0.381295,0.479381,0.670886,0.096339,0.594371,0
0.458333,0.671233,0.529813,0.081174,0.141623,0.697802,0.345018,0.654676,0.621993,0.64557,0.73025,0.274834,1
0.333333,0.178082,0.46167,0.611399,0.291883,0.688645,0.081181,0.669065,0.601375,0.224231,0.315992,0.682119,0
0.708333,0.780822,0.616695,0.02418,0.117444,0.481685,0.225092,0.730216,0.496564,0.070524,0.678227,0.023179,0
0.333333,0.452055,0.492334,0.298791,0.357513,0.021978,0.130996,0.455036,0.190722,0.068716,0.493256,0.523179,0
0.166667,0.30137,0.507666,0.450777,0.455959,0.489011,0.721402,0.338129,0.623711,0.517179,0.527938,0.40894,0
0.166667,0.39726,0.499148,0.34715,0.098446,0.705128,0.448339,0.53777,0.726804,0.759494,0.481696,0.465232,0
0,0.342466,0.471891,0.397237,0.625216,0.274725,0.667897,0.07554,0.230241,0.54792,0.111753,0.637417,1
0.125,0.849315,0.62862,0,0.029361,0.018315,0.099631,0.269784,0.235395,0.121157,0.181118,0.018212,0
0.083333,0.205479,0.487223,0.578584,0.053541,0.507326,0.293358,0.381295,0.725086,0.696203,0.468208,0.562914,0
0.375,0.328767,0.473595,0.417962,0.609672,0.038462,0.158672,0.68705,0.40378,0.153707,0.674374,0.63245,0
0.166667,0.027397,0.591141,0.744387,0,0.800366,0.800738,0.510791,0.649485,0.78481,0.818882,0.049669,0
0.583333,0.753425,0.647359,0.046632,0.050086,0.029304,0.049815,0.408273,0.039519,0.414105,0.16763,0.008278,0
0.25,0.246575,0.499148,0.521589,0.599309,0.635531,0.333948,0.219424,0.304124,0.707052,0.177264,0.47351,0
0.125,0.136986,0.502555,0.644214,0.272884,0.569597,0.178967,0.618705,0.642612,0.652803,0.583815,0.43543,0
0.166667,0.287671,0.495741,0.466321,0.642487,0.571429,0.597786,0.401079,0.570447,0.412297,0.431599,0.498344,1
0.25,0.493151,0.495741,0.248705,0.478411,0.199634,0.271218,0.25,0.120275,0.027125,0.132948,0.491722,0
0.416667,0.191781,0.504259,0.594128,0.528497,0.184982,0.260148,0.088129,0.097938,0.359855,0.246628,0.425497,0
0.25,0.69863,0.632027,0.075993,0.172712,0,0.666052,0.005396,0.001718,0.047016,0.00578,0.016556,0
0.416667,0.739726,0.65247,0.063903,0.094991,0.003663,0.380074,0.138489,0.094502,0.041591,0.065511,0.004967,0
0.416667,0.136986,0.495741,0.644214,0.419689,0.509158,0.636531,0.156475,0.412371,0.540687,0.435453,0.493377,0
0.666667,0.315068,0.534923,0.433506,0.525043,0.445055,0.143911,0.660072,0.706186,0.311031,0.749518,0.241722,0
