W,MIN,FGM,FG3M,AST,STL,BLK,PLUS_MINUS,PLUS_MINUS_RANK,All_Star_Selection
0.493151,0.685912,0.434783,0.09434,0.435897,0.366667,0.054054,0.494037,0.508278,0
0.232877,0.210162,0.121739,0.037736,0.025641,0.033333,0.054054,0.531516,0.268212,0
0.479452,0.829099,0.591304,0,0.273504,0.333333,0.108108,0.495741,0.495033,0
0.547945,0.803695,0.652174,0,0.196581,0.333333,0.243243,0.558773,0.129139,0
0.424658,0.586605,0.252174,0,0.042735,0.166667,0.486486,0.500852,0.450331,1
0.821918,0.489607,0.313043,0,0.08547,0.4,0.135135,0.551959,0.172185,0
0.30137,0.799076,0.573913,0.018868,0.153846,0.333333,0.108108,0.437819,0.721854,0
0.315068,0.65358,0.46087,0,0.213675,0.333333,0.216216,0.46678,0.660596,0
0.09589,0.092379,0.026087,0,0.025641,0.033333,0.027027,0.53322,0.261589,1
0.082192,0.256351,0.043478,0,0.034188,0.1,0.243243,0.480409,0.594371,0
0.671233,0.367206,0.156522,0.245283,0.094017,0.1,0.027027,0.529813,0.274834,1
0.178082,0.431871,0.2,0.09434,0.230769,0.266667,0.108108,0.46167,0.682119,0
0.780822,0.642032,0.217391,0.150943,0.230769,0.4,0.027027,0.616695,0.023179,0
0.452055,0.87067,0.573913,0.301887,0.880342,0.4,0.054054,0.492334,0.523179,0
0.30137,0.265589,0.130435,0.018868,0.059829,0.133333,0.054054,0.507666,0.40894,0
0.39726,0.115473,0.069565,0,0.017094,0.033333,0.054054,0.499148,0.465232,0
0.342466,0.450346,0.243478,0,0.042735,0.133333,0.243243,0.471891,0.637417,1
0.849315,0.859122,0.765217,0.301887,0.65812,0.333333,0.162162,0.62862,0.018212,0
0.205479,0.13164,0.095652,0.018868,0.008547,0.066667,0.081081,0.487223,0.562914,0
0.328767,0.727483,0.417391,0.150943,0.606838,0.333333,0.027027,0.473595,0.63245,0
0.027397,0.124711,0.043478,0,0,0,0,0.591141,0.049669,0
0.753425,0.787529,0.730435,0.169811,0.222222,0.166667,0.162162,0.647359,0.008278,0
0.246575,0.332564,0.121739,0,0.068376,0.066667,0.162162,0.499148,0.47351,0
0.136986,0.168591,0.069565,0,0.094017,0.1,0.054054,0.502555,0.43543,0
0.287671,0.371824,0.2,0.132075,0.059829,0.166667,0.081081,0.495741,0.498344,1
0.493151,0.882217,0.513043,0.45283,0.25641,0.5,0.216216,0.495741,0.491722,0
0.191781,0.56351,0.391304,0.018868,0.111111,0.2,0.135135,0.504259,0.425497,0
0.69863,0.863741,0.686957,0,0.119658,0.466667,0.648649,0.632027,0.016556,0
0.739726,0.852194,0.791304,0.150943,0.393162,0.5,0.297297,0.65247,0.004967,0
0.136986,0.330254,0.130435,0,0.042735,0.133333,0.081081,0.495741,0.493377,0
0.315068,0.344111,0.234783,0.09434,0.213675,0.233333,0.027027,0.534923,0.241722,0
0.383562,0.249423,0.13913,0,0.017094,0.066667,0.108108,0.500852,0.453642,0
0.506849,0.448037,0.13913,0.09434,0.299145,0.266667,0.054054,0.524702,0.311258,0
0.219178,0.56351,0.286957,0,0.051282,0.2,0.27027,0.434412,0.725166,0
0.534247,0.399538,0.2,0.226415,0.094017,0.2,0.027027,0.555366,0.145695,1
0.191781,0.272517,0.069565,0.075472,0.051282,0.133333,0.054054,0.528109,0.284768,0
0.383562,0.406467,0.147826,0,0.059829,0.133333,0.405405,0.553663,0.150662,0
0.561644,0.796767,0.53913,0,0.128205,0.366667,0.351351,0.551959,0.172185,0
0.589041,0.729792,0.365217,0,0.051282,0.2,0.486486,0.55707,0.135762,0
0.438356,0.51963,0.217391,0.075472,0.307692,0.366667,0.081081,0.477002,0.615894,0
0.342466,0.866051,0.66087,0.358491,0.376068,0.433333,0.081081,0.522998,0.31457,0
0.753425,0.332564,0.13913,0.09434,0.247863,0.133333,0.027027,0.563884,0.115894,0
0.493151,0.364896,0.086957,0,0.034188,0.1,0.243243,0.560477,0.124172,0
0.342466,0.575058,0.321739,0.113208,0.076923,0.3,0.108108,0.540034,0.226821,0
0.082192,0.140878,0.069565,0,0.017094,0.033333,0.081081,0.488927,0.548013,0
0.547945,0.526559,0.252174,0.037736,0.17094,0.2,0.054054,0.512777,0.377483,1
0.054795,0.200924,0.052174,0,0,0,0,0.454855,0.698675,0
0.465753,0.221709,0.078261,0,0.042735,0.1,0.054054,0.505963,0.418874,0
0.246575,0.547344,0.313043,0.264151,0.102564,0.3,0.216216,0.488927,0.544702,0
0.013699,0.039261,0,0,0,0,0,0.488927,0.548013,0
0.136986,0.106236,0.069565,0,0.008547,0,0.054054,0.50937,0.39404,0
0.164384,0.21709,0.069565,0.075472,0.111111,0.166667,0.081081,0.500852,0.456954,0
0.534247,0.286374,0.173913,0.056604,0.068376,0.133333,0.027027,0.51448,0.365894,0
0.808219,0.482679,0.313043,0.301887,0.102564,0.1,0.027027,0.541738,0.211921,0
0.767123,0.648961,0.330435,0.188679,0.213675,0.3,0.081081,0.586031,0.067881,0
0.39726,0.558891,0.330435,0.018868,0.128205,0.233333,0.135135,0.497445,0.476821,0
0.493151,0.87067,0.469565,0.169811,0.205128,0.5,0.243243,0.551959,0.177152,0
0.479452,0.588915,0.330435,0.264151,0.333333,0.366667,0.081081,0.519591,0.34106,0
0.739726,0.676674,0.4,0,0.102564,0.333333,0.108108,0.553663,0.152318,0
0.506849,0.401848,0.234783,0.150943,0.247863,0.233333,0.027027,0.471891,0.639073,0
0.452055,0.385681,0.173913,0.09434,0.094017,0.133333,0.081081,0.477002,0.61755,0
0.534247,0.690531,0.434783,0.113208,0.213675,0.266667,0.108108,0.53322,0.256623,0
0.410959,0.637413,0.330435,0,0.111111,0.4,0.162162,0.494037,0.503311,0
0.561644,0.279446,0.121739,0.075472,0.188034,0.1,0.027027,0.507666,0.415563,0
0.534247,0.404157,0.252174,0,0.076923,0.133333,0.027027,0.483816,0.577815,0
0.041096,0.110855,0.026087,0,0,0.033333,0.081081,0.487223,0.559603,0
0.246575,0.120092,0.086957,0,0.017094,0.033333,0.108108,0.548552,0.18543,0
0.315068,0.177829,0.034783,0,0.008547,0.066667,0.081081,0.478705,0.609272,0
0.013699,0.034642,0,0,0,0,0,0.454855,0.698675,1
0.657534,0.720554,0.347826,0.301887,0.358974,0.3,0.108108,0.586031,0.061258,0
0.438356,0.293303,0.147826,0.188679,0.051282,0.1,0.027027,0.546848,0.188742,0
0.205479,0.207852,0.06087,0,0.025641,0.1,0.108108,0.49063,0.541391,0
0.534247,0.196305,0.086957,0,0.008547,0.1,0.081081,0.543441,0.206954,0
0.219178,0.295612,0.2,0,0.008547,0.033333,0.027027,0.49063,0.529801,0
0.219178,0.145497,0.026087,0,0.059829,0.133333,0.027027,0.50937,0.392384,0
0.287671,0.233256,0.086957,0.018868,0.153846,0.133333,0,0.504259,0.432119,0
0.767123,0.471132,0.304348,0.150943,0.333333,0.133333,0,0.555366,0.142384,0
0.260274,0.646651,0.469565,0,0.094017,0.2,0.189189,0.408859,0.746689,0
0.506849,0.586605,0.286957,0.283019,0.145299,0.166667,0.027027,0.551959,0.168874,0
0.671233,0.570439,0.373913,0.301887,0.188034,0.4,0.054054,0.577513,0.084437,0
0.315068,0.637413,0.365217,0,0.042735,0.166667,0.648649,0.473595,0.629139,0
0.191781,0.198614,0.06087,0,0.017094,0.066667,0.027027,0.534923,0.240066,0
0.547945,0.692841,0.417391,0.301887,0.273504,0.266667,0.054054,0.522998,0.316225,0
0.273973,0.404157,0.147826,0.113208,0.076923,0.166667,0.162162,0.480409,0.602649,0
0.671233,0.699769,0.426087,0.301887,0.512821,0.333333,0,0.592845,0.044702,0
0.232877,0.249423,0.104348,0.132075,0.059829,0.033333,0.054054,0.49063,0.536424,0
0.753425,0.612009,0.313043,0.264151,0.179487,0.366667,0.081081,0.565588,0.107616,0
0.205479,0.494226,0.243478,0.037736,0.196581,0.3,0.27027,0.492334,0.513245,0
0.780822,0.43649,0.156522,0.283019,0.042735,0.133333,0.054054,0.574106,0.096026,0
0.260274,0.3903,0.147826,0.264151,0.059829,0.166667,0.027027,0.512777,0.369205,0
0.547945,0.598152,0.321739,0.245283,0.111111,0.366667,0.054054,0.516184,0.352649,0
0.273973,0.325635,0.06087,0,0.076923,0.233333,0.108108,0.565588,0.109272,0
0.534247,0.475751,0.269565,0.075472,0.247863,0.233333,0.027027,0.487223,0.566225,0
0.150685,0.145497,0.017391,0,0.008547,0.033333,0,0.526405,0.293046,0
0.369863,0.274827,0.06087,0,0.034188,0.066667,0.054054,0.553663,0.155629,0
0.123288,0.101617,0.026087,0,0.017094,0.033333,0,0.548552,0.187086,0
0.767123,0.762125,0.234783,0.320755,0.700855,0.566667,0.108108,0.558773,0.125828,0
0.232877,0.371824,0.13913,0,0.025641,0.133333,0.108108,0.482112,0.582781,0
0.643836,0.778291,0.513043,0.45283,0.153846,0.4,0.054054,0.579216,0.07947,0
0.60274,0.325635,0.156522,0,0.042735,0.1,0.108108,0.521295,0.32947,0
0.780822,0.718245,0.521739,0.283019,0.350427,0.366667,0.054054,0.591141,0.048013,0
0.328767,0.533487,0.313043,0,0.102564,0.133333,0.162162,0.49063,0.531457,0
0.260274,0.247113,0.069565,0.075472,0.162393,0.133333,0,0.550256,0.183775,0
0.082192,0.341801,0.13913,0.09434,0.068376,0.1,0.027027,0.468484,0.653974,0
0.09589,0.191686,0.086957,0,0.034188,0.066667,0.054054,0.524702,0.306291,0
0.342466,0.383372,0.121739,0,0.068376,0.133333,0.162162,0.53833,0.230132,0
0.616438,0.743649,0.426087,0.169811,0.119658,0.233333,0.135135,0.522998,0.324503,0
0.493151,0.314088,0.165217,0.056604,0.17094,0.2,0.108108,0.507666,0.413907,0
0.30137,0.212471,0.13913,0,0.042735,0.1,0.081081,0.517888,0.347682,0
0.136986,0.221709,0.086957,0,0.119658,0.366667,0.081081,0.528109,0.289735,0
0.178082,0.411085,0.182609,0,0.042735,0.033333,0.351351,0.53322,0.254967,0
0.109589,0.323326,0.243478,0.075472,0.076923,0.133333,0.027027,0.473595,0.634106,0
0.068493,0.159353,0.034783,0.018868,0.034188,0,0.081081,0.512777,0.372517,0
0.342466,0.482679,0.269565,0.132075,0.316239,0.166667,0.027027,0.454855,0.703642,0
0.493151,0.752887,0.382609,0,0.188034,0.333333,0.405405,0.586031,0.06457,0
0.547945,0.639723,0.286957,0.358491,0.094017,0.3,0.027027,0.543441,0.205298,0
0.520548,0.815242,0.617391,0.226415,0.401709,0.233333,0.027027,0.543441,0.203642,0
0.191781,0.094688,0.017391,0,0.025641,0,0.081081,0.512777,0.370861,0
0.753425,0.445727,0.06087,0,0.025641,0.033333,0.324324,0.550256,0.180464,0
