AGE,W,L,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,All_Star_Selection
0.291667,0.383562,0.521127,0.810624,0.486957,0.465306,0,0.007576,0.147059,0.268293,0.563636,0.701754,0.17094,0.333333,0.233333,0.702703,0.285714,0.55,0.377551,0.354571,0.526405,0.617555,0.311688,0,0.348639,0.364421,0.200686,0.490501,0.056291,0.098787,0.127517,0.187175,0.60039,0.581105,0.60039,0.311808,0.14652,0.778598,0.023381,0.005155,0.008547,0.244718,0.120354,0.282098,0,0.223881,0.010292,0.067496,0.158348,0.301325,0.034768,0.101124,0.666667,1
0.166667,0.493151,0.253521,0.637413,0.382609,0.310204,0,0,0.254902,0.317073,0.563636,0.552632,0.119658,0.245614,0.133333,0.540541,0.285714,0.433333,0.285714,0.313019,0.586031,0.509404,0.220779,0,0.465986,0.248705,0.569468,0.162349,0.206954,0.192374,0.278523,0.029463,0.60039,0.680927,0.60039,0.156827,0.106227,0.603321,0.017986,0.042955,0.025641,0.357394,0.240708,0.567812,0.009634,0.197761,0.125214,0.145648,0.201377,0.066225,0.104305,0.153558,0.666667,0
0.25,0.356164,0.464789,0.542725,0.208696,0.183673,0,0,0.019608,0.04065,0.454545,0.421053,0.08547,0.175439,0.3,0.243243,0.095238,0.566667,0.091837,0.138504,0.454855,0.341693,0.038961,0,0.404762,0.390328,0.283019,0.47323,0.296358,0.419411,0.466443,0.074523,0.60039,0.680927,0.60039,0.776753,0.714286,0.798893,0.057554,0.09622,0.076923,0.448944,0.40708,0.19349,0.1079,0.576493,0.008576,0.541741,0.499139,0.69702,0.268212,0.479401,0.666667,0
0.208333,0.027397,0.042254,0.106236,0.052174,0.057143,0.037736,0.060606,0.019608,0.03252,0,0.017544,0.051282,0.245614,0.066667,0,0,0,0.020408,0.044321,0.48552,0.065831,0,0,0.734694,0.744387,0.734134,0.528497,0.725166,0.72617,0.708054,0.487002,0.454191,0.409982,0.491228,0.758303,0.736264,0.732472,0.785971,0.761168,0.760684,0.575704,0.226549,0.696203,0.818882,0.804104,0.766724,0.769094,0.717728,0.571192,0.730132,0.835206,0.666667,0
0.666667,0.123288,0.661972,0.755196,0.582609,0.636735,0.301887,0.356061,0.303922,0.341463,0.272727,0.45614,0.145299,0.245614,0.3,0.135135,0.238095,0.4,0.377551,0.498615,0.412266,0.529781,0.12987,0,0.452381,0.663212,0.078902,0.763385,0.10596,0.057192,0.040268,0.495667,0.05848,0.037433,0.304094,0.099631,0.087912,0.468635,0.152878,0.079038,0.095726,0.301056,0.238938,0.188065,0.233141,0.242537,0.180103,0.071048,0.055077,0.745033,0.086093,0.228464,0.666667,0
0.708333,0.273973,0.183099,0.318707,0.121739,0.130612,0.075472,0.090909,0.019608,0.01626,0.036364,0.114035,0.179487,0.210526,0.266667,0.054054,0.047619,0.25,0.040816,0.091413,0.528109,0.194357,0,0,0.608844,0.481865,0.632933,0.208981,0.521523,0.60312,0.568792,0.518198,0.397661,0.360071,0.421053,0.750923,0.776557,0,0.703237,0.587629,0.617094,0.230634,0.316814,0.231465,0.56262,0.783582,0.531732,0.731794,0.612737,0.291391,0.518212,0.835206,0.666667,0
0.25,0.232877,0.577465,0.734411,0.417391,0.436735,0.358491,0.340909,0.166667,0.146341,0.109091,0.201754,0.102564,0.157895,0.1,0.027027,0.190476,0.383333,0.132653,0.365651,0.487223,0.332288,0,0,0.42517,0.542314,0.137221,0.65285,0.129139,0.154246,0.152685,0.355286,0.023392,0.051693,0.062378,0.274908,0.335165,0.038745,0.446043,0.359107,0.389744,0.401408,0.433628,0.60217,0.645472,0.360075,0.212693,0.420959,0.148021,0.561258,0.281457,0.835206,0.666667,0
0.708333,0.246575,0.760563,0.665127,0.269565,0.314286,0.226415,0.242424,0.098039,0.105691,0.090909,0.22807,0.25641,0.192982,0.3,0.027027,0.095238,0.25,0.153061,0.229917,0.451448,0.327586,0,0,0.255102,0.521589,0.024014,0.699482,0.175497,0.341421,0.276846,0.632582,0.163743,0.158645,0.179337,0.446494,0.472527,0.306273,0.548561,0.316151,0.376068,0.117958,0.339823,0.168174,0.624277,0.595149,0.511149,0.367673,0.32358,0.706954,0.288079,0.835206,0.666667,0
0.083333,0.150685,0.408451,0.334873,0.269565,0.269388,0,0.007576,0.147059,0.178862,0.2,0.254386,0.068376,0.22807,0.2,0.162162,0.190476,0.266667,0.183673,0.210526,0.463373,0.283699,0.064935,0,0.571429,0.630397,0.368782,0.678756,0.5,0.337955,0.33557,0.279029,0.57115,0.54902,0.491228,0.315498,0.282051,0.570111,0.248201,0.264605,0.247863,0.494718,0.253097,0.394213,0.188825,0.373134,0.502573,0.280639,0.35284,0.673841,0.359272,0.378277,0.666667,0
0.291667,0.164384,0.746479,0.48037,0.191304,0.195918,0.132075,0.136364,0.156863,0.162602,0.254545,0.27193,0.111111,0.140351,0.133333,0.108108,0.142857,0.366667,0.22449,0.185596,0.502555,0.283699,0.038961,0,0.348639,0.623489,0.02916,0.753022,0.35596,0.454073,0.442953,0.348354,0.298246,0.28877,0.08577,0.280443,0.298535,0.241697,0.178058,0.226804,0.191453,0.378521,0.530973,0.490054,0.294798,0.529851,0.252144,0.223801,0.402754,0.448675,0.35596,0.479401,0.666667,0
